margBRNZ,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,0,0.159509202453988
CRS,50,0,0.24
ERK,323,0,0.229102167182663
MNT,108,0,0.388888888888889
MRO,138,766,0.942028985507246
OSF,29,0,0.517241379310345
HKL,110,766,0.863636363636364
NET,6,0,0.666666666666667
TWL,867,0,0.268742791234141
1978,124,0,0.104838709677419
1979,102,766,0.411764705882353
1980,271,0,0.284132841328413
1981,237,0,0.438818565400844
1982,249,0,0.385542168674699
Q1,162,0,0.450617283950617
Q2,289,0,0.29757785467128
Q3,340,766,0.147058823529412
Q4,192,0,0.640625
