"marginalCLPR","n","landing","coverage"
"BDG",9,160601,1
"BRG",326,5460561,0.901840490797546
"CRS",50,18822,1
"ERK",323,1278213,0.981424148606811
"MNT",108,1573782,0.935185185185185
"MRO",138,841860,0.978260869565217
"OSF",29,837157,0.96551724137931
"HKL",110,597138,0.963636363636364
"NET",6,0,1
"TWL",867,9573858,0.948096885813149
"1978",124,1172492,0.983870967741935
"1979",102,2327247,0.882352941176471
"1980",271,2560887,0.922509225092251
"1981",237,2252765,0.966244725738397
"1982",249,1857605,0.975903614457831
"Q1",162,2134234,0.969135802469136
"Q2",289,2254890,0.944636678200692
"Q3",340,3183438,0.955882352941177
"Q4",192,2598434,0.932291666666667
