"marginalQLBK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,232,0.834355828220859
"CRS",50,0,1
"ERK",323,0,0.987616099071207
"MNT",108,0,0.842592592592593
"MRO",138,0,0.956521739130435
"OSF",29,0,0.827586206896552
"HKL",110,0,0.945454545454545
"NET",6,0,1
"TWL",867,232,0.907727797001153
"1978",124,232,0.959677419354839
"1979",102,0,0.764705882352941
"1980",271,0,0.944649446494465
"1981",237,0,0.822784810126582
"1982",249,0,1
"Q1",162,232,0.969135802469136
"Q2",289,0,0.930795847750865
"Q3",340,0,0.888235294117647
"Q4",192,0,0.880208333333333
