"marginalQLBK","n","landing","coverage"
"BDG",9,0,0
"BRG",326,232,0.122699386503067
"CRS",50,0,0.5
"ERK",323,0,0.510835913312694
"MNT",108,0,0.361111111111111
"MRO",138,0,0.311594202898551
"OSF",29,0,0.137931034482759
"HKL",110,0,0.263636363636364
"NET",6,0,0.166666666666667
"TWL",867,232,0.329873125720877
"1978",124,232,0.0161290322580645
"1979",102,0,0.343137254901961
"1980",271,0,0.33210332103321
"1981",237,0,0.223628691983122
"1982",249,0,0.546184738955823
"Q1",162,232,0.246913580246914
"Q2",289,0,0.301038062283737
"Q3",340,0,0.382352941176471
"Q4",192,0,0.307291666666667
