"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.407975460122699
"CRS",50,0,0.38
"ERK",323,0,0.374613003095975
"MNT",108,0,0.268518518518519
"MRO",138,766,0.333333333333333
"OSF",29,0,0.344827586206897
"HKL",110,766,0.363636363636364
"NET",6,0,0
"TWL",867,0,0.366782006920415
"1978",124,0,0.508064516129032
"1979",102,766,0.558823529411765
"1980",271,0,0.509225092250922
"1981",237,0,0.0506329113924051
"1982",249,0,0.353413654618474
"Q1",162,0,0.283950617283951
"Q2",289,0,0.183391003460208
"Q3",340,766,0.488235294117647
"Q4",192,0,0.484375
