"marginalYMTH","n","landing","coverage"
"BDG",9,0,1
"BRG",326,1535,0.969325153374233
"CRS",50,0,0.9
"ERK",323,0,1
"MNT",108,0,0.796296296296296
"MRO",138,0,0.905797101449275
"OSF",29,0,0.862068965517241
"HKL",110,0,0.836363636363636
"NET",6,0,1
"TWL",867,1535,0.958477508650519
"1978",124,0,0.991935483870968
"1979",102,1535,0.941176470588235
"1980",271,0,0.985239852398524
"1981",237,0,0.949367088607595
"1982",249,0,0.875502008032129
"Q1",162,0,0.938271604938272
"Q2",289,0,0.916955017301038
"Q3",340,0,0.970588235294118
"Q4",192,1535,0.947916666666667
