"marginalEGLS","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.358895705521472
"CRS",50,0,0.56
"ERK",323,0,0.260061919504644
"MNT",108,1398,0.157407407407407
"MRO",138,0,0.289855072463768
"OSF",29,0,0.344827586206897
"HKL",110,0,0.254545454545455
"NET",6,0,0.166666666666667
"TWL",867,1398,0.309111880046136
"1978",124,0,0.201612903225806
"1979",102,0,0.490196078431373
"1980",271,1398,0.136531365313653
"1981",237,0,0.481012658227848
"1982",249,0,0.285140562248996
"Q1",162,0,0.376543209876543
"Q2",289,0,0.117647058823529
"Q3",340,1398,0.297058823529412
"Q4",192,0,0.526041666666667
