margMXRF,n,landing,coverage
BDG,31,0,0.161290322580645
BRG,420,15828,0.330952380952381
CRS,73,0,0.136986301369863
ERK,533,0,0.155722326454034
MNT,249,0,0.353413654618474
MRO,201,0,0.323383084577114
OSF,65,0,0.292307692307692
HKL,128,0,0.3125
NET,24,0,0.0416666666666667
TWL,1420,15828,0.259154929577465
1978,124,0,0.370967741935484
1979,102,0,0.392156862745098
1980,271,15828,0.302583025830258
1981,237,0,0.118143459915612
1982,249,0,0.21285140562249
1983,312,0,0.298076923076923
1984,277,0,0.24187725631769
Q1,277,0,0.415162454873646
Q2,441,6676,0.195011337868481
Q3,534,9152,0.234082397003745
Q4,320,0,0.259375
