margMXRF,n,landing,coverage
BDG,31,0,0.870967741935484
BRG,420,15828,0.95952380952381
CRS,73,0,1
ERK,533,0,0.917448405253283
MNT,249,0,0.963855421686747
MRO,201,0,0.930348258706468
OSF,65,0,1
HKL,128,0,0.9453125
NET,24,0,0.916666666666667
TWL,1420,15828,0.944366197183099
1978,124,0,1
1979,102,0,0.774509803921569
1980,271,15828,0.830258302583026
1981,237,0,0.974683544303797
1982,249,0,0.967871485943775
1983,312,0,1
1984,277,0,0.981949458483754
Q1,277,0,0.967509025270758
Q2,441,6676,0.918367346938776
Q3,534,9152,0.971910112359551
Q4,320,0,0.9125
