"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.914110429447853
"CRS",50,0,1
"ERK",323,0,0.873065015479876
"MNT",108,0,1
"MRO",138,766,0.905797101449275
"OSF",29,0,0.793103448275862
"HKL",110,766,0.990909090909091
"NET",6,0,1
"TWL",867,0,0.898500576701269
"1978",124,0,0.766129032258065
"1979",102,766,0.990196078431373
"1980",271,0,0.885608856088561
"1981",237,0,0.886075949367089
"1982",249,0,0.995983935742972
"Q1",162,0,0.876543209876543
"Q2",289,0,0.958477508650519
"Q3",340,766,0.832352941176471
"Q4",192,0,1
