"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,0,0.0766871165644172
"CRS",50,0,0.38
"ERK",323,0,0.554179566563467
"MNT",108,0,0.194444444444444
"MRO",138,766,0.202898550724638
"OSF",29,0,0.172413793103448
"HKL",110,766,0.181818181818182
"NET",6,0,0.5
"TWL",867,0,0.296424452133795
"1978",124,0,0.0403225806451613
"1979",102,766,0.176470588235294
"1980",271,0,0.210332103321033
"1981",237,0,0.274261603375527
"1982",249,0,0.542168674698795
"Q1",162,0,0.345679012345679
"Q2",289,0,0.349480968858132
"Q3",340,766,0.238235294117647
"Q4",192,0,0.21875
