margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,1
ERK,323,0,0.959752321981424
MNT,108,13256,0.944444444444444
MRO,138,29218,0.869565217391304
OSF,29,0,1
HKL,110,35331,0.836363636363636
NET,6,2555,0.5
TWL,867,4588,0.958477508650519
1978,124,2555,0.967741935483871
1979,102,9951,0.96078431372549
1980,271,1542,0.940959409594096
1981,237,12829,0.89873417721519
1982,249,15597,0.963855421686747
Q1,162,11599,0.95679012345679
Q2,289,6194,0.910034602076125
Q3,340,1856,0.997058823529412
Q4,192,22825,0.880208333333333
