"marginalSHRP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,3698,0.861963190184049
"CRS",50,0,1
"ERK",323,0,0.969040247678019
"MNT",108,0,0.981481481481482
"MRO",138,0,0.978260869565217
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,3698,0.930795847750865
"1978",124,0,0.983870967741935
"1979",102,3698,0.980392156862745
"1980",271,0,0.841328413284133
"1981",237,0,1
"1982",249,0,0.947791164658635
"Q1",162,0,0.938271604938272
"Q2",289,0,0.993079584775087
"Q3",340,1139,0.861764705882353
"Q4",192,2559,0.994791666666667
