"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,3698,0.174846625766871
"CRS",50,0,0.24
"ERK",323,0,0.328173374613003
"MNT",108,0,0.0648148148148148
"MRO",138,0,0.268115942028986
"OSF",29,0,0.172413793103448
"HKL",110,0,0.236363636363636
"NET",6,0,0.333333333333333
"TWL",867,3698,0.229527104959631
"1978",124,0,0.266129032258065
"1979",102,3698,0.264705882352941
"1980",271,0,0.33210332103321
"1981",237,0,0.194092827004219
"1982",249,0,0.124497991967871
"Q1",162,0,0.166666666666667
"Q2",289,0,0.190311418685121
"Q3",340,1139,0.244117647058824
"Q4",192,2559,0.322916666666667
