margGSRK,n,landing,coverage
BDG,9,45632,0.555555555555556
BRG,326,250576,0.539877300613497
CRS,50,35815,0.28
ERK,323,9750,0.715170278637771
MNT,108,11597,0.453703703703704
MRO,138,1308,0.623188405797101
OSF,29,0,0.241379310344828
HKL,110,2205,0.554545454545455
NET,6,0,0.166666666666667
TWL,867,352473,0.583621683967705
1978,124,20436,0.57258064516129
1979,102,8874,0.666666666666667
1980,271,224858,0.575645756457565
1981,237,23860,0.455696202531646
1982,249,76650,0.662650602409639
Q1,162,208438,0.283950617283951
Q2,289,78136,0.629757785467128
Q3,340,43250,0.591176470588235
Q4,192,24854,0.723958333333333
