margWDOW,n,landing,coverage
BDG,56,79959,0.964285714285714
BRG,457,759731,0.975929978118162
CRS,82,248472,0.98780487804878
ERK,594,15897407,0.878787878787879
MNT,344,1281769,0.930232558139535
MRO,266,349041,0.977443609022556
OSF,104,1528359,0.961538461538462
HKL,138,248529,1
NET,47,874654,0.808510638297872
TWL,1718,19021555,0.935389988358556
1978,124,749148,0.943548387096774
1979,102,2751370,0.892156862745098
1980,271,10708990,0.867158671586716
1981,237,3288416,0.890295358649789
1982,249,655582,0.979919678714859
1983,312,870775,0.92948717948718
1984,277,752370,0.985559566787004
1985,331,368087,0.972809667673716
Q1,339,4251803,0.935103244837758
Q2,531,4534503,0.92090395480226
Q3,645,6000483,0.944186046511628
Q4,388,5357949,0.948453608247423
