margSABL,n,landing,coverage
BDG,4,0,0
BRG,6,0,0
MNT,95,4753,0.336842105263158
MRO,77,0,0.181818181818182
OSF,63,0,0.253968253968254
HKL,1,0,0
NET,8,0,0
TWL,236,4753,0.26271186440678
1978,57,4753,0
1980,61,0,0.360655737704918
1981,42,0,0.30952380952381
1982,50,0,0.46
1983,18,0,0.222222222222222
1984,6,0,0
1985,11,0,0
Q1,55,4753,0.0363636363636364
Q2,86,0,0.441860465116279
Q3,59,0,0.101694915254237
Q4,45,0,0.355555555555556
