margSABL,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,4753,0.968421052631579
MRO,77,0,1
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,236,4753,0.98728813559322
1978,57,4753,0.947368421052632
1980,61,0,1
1981,42,0,1
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,4753,0.945454545454545
Q2,86,0,1
Q3,59,0,1
Q4,45,0,1
