"species","mad"
"CNRY",4.43923674375753e-05
"GSPT",4.51917557491229e-05
"YTRK",4.80485092340186e-05
"DBRK",4.85115539267163e-05
"WDOW",5.27224247216962e-05
"CLPR",5.92766438309613e-05
"ARRA",5.99975624870898e-05
"ROSY",6.57121205393585e-05
"RSTN",6.6080338921376e-05
"REYE",6.62592745646895e-05
"URCK",6.6276877537083e-05
"STAR",6.64353580644567e-05
"GRAS",6.64934241745221e-05
"SWSP",6.66359565039146e-05
"STRK",6.68703496736731e-05
"BRWN",6.69566575596748e-05
"GBLC",6.73932365549714e-05
"EGLS",6.77038349213489e-05
"BRNZ",6.82931080449733e-05
"REX",6.86412875458138e-05
"MXRF",6.86861943267569e-05
"BCAC",6.88053292718393e-05
"SBLY",6.88269052249282e-05
"QLBK",6.90078729005897e-05
"FLAG",6.91304558770404e-05
"TIGR",6.97718412704254e-05
"YMTH",7.02071382737943e-05
"LSPN",7.04947074687524e-05
"CBZN",7.05321957416768e-05
"GSRK",7.06387030857342e-05
"COPP",7.10315124297075e-05
"SLGR",7.17086931401001e-05
"REDS",7.17430373691446e-05
"OLVE",7.37969195047916e-05
"BLUR",7.38506852671904e-05
"SSPN",7.40131873170545e-05
"SNOS",7.42132199856539e-05
"SHRP",7.43909490428561e-05
"CWCD",7.48806178869785e-05
"VRML",7.60130914401226e-05
"POP",7.70653790481309e-05
"SPKL",7.70669938609881e-05
"BLCK",7.74209732726348e-05
"YEYE",7.76313762723141e-05
"RDBD",8.08415098869974e-05
"BLGL",8.1839934805649e-05
"LCOD",8.20794011746388e-05
"BANK",9.31787667713289e-05
