margSTAR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.868098159509202
CRS,50,0,0.94
ERK,323,0,0.8328173374613
MNT,108,0,0.546296296296296
MRO,138,2890,0.579710144927536
OSF,29,0,0.862068965517241
HKL,110,2559,0.809090909090909
NET,6,0,0.166666666666667
TWL,867,331,0.786620530565167
1978,124,0,0.943548387096774
1979,102,112,0.794117647058823
1980,271,331,0.738007380073801
1981,237,1766,0.789029535864979
1982,249,681,0.751004016064257
Q1,162,681,0.91358024691358
Q2,289,147,0.875432525951557
Q3,340,599,0.717647058823529
Q4,192,1463,0.661458333333333
