margSWSP,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.180981595092025
CRS,50,0,0.3
ERK,323,0,0.46749226006192
MNT,108,0,0.351851851851852
MRO,138,0,0.427536231884058
OSF,29,0,0.0344827586206897
HKL,110,0,0.454545454545455
NET,6,0,0.666666666666667
TWL,867,0,0.311418685121107
1978,124,0,0.225806451612903
1979,102,0,0.352941176470588
1980,271,0,0.339483394833948
1981,237,0,0.434599156118143
1982,249,0,0.261044176706827
Q1,162,0,0.432098765432099
Q2,289,0,0.484429065743945
Q3,340,0,0.217647058823529
Q4,192,0,0.208333333333333
