margCNRY,n,landing,coverage
BRG,6,33886,0.333333333333333
MNT,88,692,1
MRO,64,72433,0.953125
OSF,52,89832,0.923076923076923
HKL,1,0,1
NET,8,692,1
TWL,201,196151,0.945273631840796
1978,57,19046,0.964912280701754
1980,61,83956,0.918032786885246
1981,42,63839,0.928571428571429
1982,50,30002,0.98
Q1,43,13366,0.953488372093023
Q2,73,95888,0.917808219178082
Q3,54,75858,0.962962962962963
Q4,40,11731,0.975
