"species","mad"
"REX",3.68674385823496e-05
"RDBD",3.73265694722487e-05
"EGLS",3.74067742112197e-05
"GSRK",3.84261082878416e-05
"GBLC",3.88524297298857e-05
"LCOD",3.92697287683529e-05
"BLGL",4.04226546996011e-05
"ARRA",4.06450168891766e-05
"SSPN",4.07373675396496e-05
"SABL",4.10783803173167e-05
"SNOS",4.17004994901849e-05
"DBRK",4.29485985890007e-05
"SBLY",4.31153542250371e-05
"GSPT",4.68906911664849e-05
"STRK",5.0697900277375e-05
"BLUR",5.64971158400948e-05
"BANK",6.01963849304481e-05
"BRWN",6.19566714349519e-05
"WDOW",6.39057796180564e-05
"SPKL",6.39463908641333e-05
"TIGR",6.48876319519389e-05
"OLVE",6.50229002733556e-05
"VRML",6.50864845240352e-05
"CNRY",6.74525661271266e-05
"PNKR",6.82658031744593e-05
"CWCD",6.89604245451652e-05
"CLPR",6.91348091930553e-05
"FLAG",7.22039846447103e-05
"YTRK",7.98808655496548e-05
"KLPG",8.73168826228656e-05
"BCAC",9.77813486341794e-05
