margMXRF,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,15828,0.285276073619632
CRS,50,0,0.46
ERK,323,0,0.195046439628483
MNT,108,0,0.342592592592593
MRO,138,0,0.152173913043478
OSF,29,0,0.344827586206897
HKL,110,0,0.1
NET,6,0,0.333333333333333
TWL,867,15828,0.271049596309112
1978,124,0,0.282258064516129
1979,102,0,0.00980392156862745
1980,271,15828,0.287822878228782
1981,237,0,0.19831223628692
1982,249,0,0.349397590361446
Q1,162,0,0.469135802469136
Q2,289,6676,0.166089965397924
Q3,340,9152,0.223529411764706
Q4,192,0,0.25
