margBCAC,n,landing,coverage
BDG,9,689945,0.888888888888889
BRG,326,4401338,0.957055214723926
CRS,50,570089,0.98
ERK,323,2934116,0.934984520123839
MNT,108,2426405,0.925925925925926
MRO,138,1605793,0.869565217391304
OSF,29,1665847,0.862068965517241
HKL,110,906394,0.9
NET,6,20053,1
TWL,867,13367086,0.935409457900807
1978,124,1320166,0.92741935483871
1979,102,1408999,0.92156862745098
1980,271,2700181,0.959409594095941
1981,237,5193394,0.915611814345992
1982,249,3670793,0.923694779116466
Q1,162,3371850,0.901234567901235
Q2,289,3877067,0.948096885813149
Q3,340,4274305,0.923529411764706
Q4,192,2770311,0.947916666666667
