margCNRY,n,landing,coverage
BDG,9,66834,1
BRG,326,1975794,0.96319018404908
CRS,50,1398777,0.78
ERK,323,1577283,0.956656346749226
MNT,108,20852,0.990740740740741
MRO,138,100136,0.992753623188406
OSF,29,7637,0.96551724137931
HKL,110,132906,0.981818181818182
NET,6,0,1
TWL,867,5014407,0.956170703575548
1978,124,1259855,0.943548387096774
1979,102,626077,0.96078431372549
1980,271,615166,0.948339483394834
1981,237,1146147,0.966244725738397
1982,249,1500068,0.971887550200803
Q1,162,848186,0.981481481481482
Q2,289,1937730,0.951557093425606
Q3,340,1978133,0.941176470588235
Q4,192,383264,0.984375
