margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.723926380368098
CRS,50,1398777,0.38
ERK,323,1577283,0.668730650154799
MNT,108,20852,0.981481481481482
MRO,138,100136,0.644927536231884
OSF,29,7637,0.896551724137931
HKL,110,132906,0.527272727272727
NET,6,0,1
TWL,867,5014407,0.731257208765859
1978,124,1259855,0.629032258064516
1979,102,626077,0.568627450980392
1980,271,615166,0.726937269372694
1981,237,1146147,0.776371308016878
1982,249,1500068,0.726907630522088
Q1,162,848186,0.765432098765432
Q2,289,1937730,0.685121107266436
Q3,340,1978133,0.661764705882353
Q4,192,383264,0.786458333333333
