margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.950920245398773
CRS,50,23232,0.96
ERK,323,231696,0.981424148606811
MNT,108,15597,0.981481481481482
MRO,138,105637,0.956521739130435
OSF,29,24513,0.96551724137931
HKL,110,108515,0.945454545454545
NET,6,0,1
TWL,867,567088,0.968858131487889
1978,124,27031,0.975806451612903
1979,102,91046,0.990196078431373
1980,271,81904,0.952029520295203
1981,237,329640,0.953586497890295
1982,249,145982,0.979919678714859
Q1,162,224167,0.962962962962963
Q2,289,167944,0.955017301038062
Q3,340,124482,0.976470588235294
Q4,192,159010,0.96875
