margGSPT,n,landing,coverage
BDG,9,0,1
BRG,326,274928,0.702453987730061
CRS,50,23232,0.66
ERK,323,231696,0.888544891640867
MNT,108,15597,0.796296296296296
MRO,138,105637,0.717391304347826
OSF,29,24513,0.689655172413793
HKL,110,108515,0.6
NET,6,0,1
TWL,867,567088,0.797001153402538
1978,124,27031,0.741935483870968
1979,102,91046,0.794117647058823
1980,271,81904,0.671586715867159
1981,237,329640,0.852320675105485
1982,249,145982,0.827309236947791
Q1,162,224167,0.691358024691358
Q2,289,167944,0.726643598615917
Q3,340,124482,0.838235294117647
Q4,192,159010,0.8125
