margGBLC,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.260736196319018
CRS,50,0,0.94
ERK,323,0,0.708978328173375
MNT,108,0,0.37037037037037
MRO,138,37006,0.956521739130435
OSF,29,0,0.517241379310345
HKL,110,37006,0.945454545454545
NET,6,0,1
TWL,867,0,0.505190311418685
1978,124,0,0.282258064516129
1979,102,372,0.715686274509804
1980,271,1328,0.715867158671587
1981,237,0,0.434599156118143
1982,249,35306,0.57429718875502
Q1,162,5688,0.296296296296296
Q2,289,58,0.522491349480969
Q3,340,30556,0.758823529411765
Q4,192,704,0.473958333333333
