margWDOW,n,landing,coverage
BDG,9,13218,1
BRG,326,635196,0.978527607361963
CRS,50,182129,0.98
ERK,323,15744399,0.804953560371517
MNT,108,570494,0.907407407407407
MRO,138,219593,0.992753623188406
OSF,29,788477,0.931034482758621
HKL,110,208182,0.990909090909091
NET,6,10917,1
TWL,867,17934407,0.904267589388697
1978,124,749148,0.959677419354839
1979,102,2751370,0.882352941176471
1980,271,10708990,0.881918819188192
1981,237,3288416,0.877637130801688
1982,249,655582,0.975903614457831
Q1,162,4011229,0.907407407407407
Q2,289,4284190,0.8719723183391
Q3,340,4756660,0.938235294117647
Q4,192,5101427,0.942708333333333
