margSPKL,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,945,0.967391304347826
MRO,66,30039,0.939393939393939
OSF,63,0,0.888888888888889
HKL,1,0,1
NET,8,904,0.75
TWL,219,30080,0.945205479452055
1978,57,945,0.824561403508772
1980,61,0,1
1981,42,30039,0.952380952380952
1982,50,0,0.96
1983,18,0,1
Q1,45,9729,0.822222222222222
Q2,79,415,0.974683544303797
Q3,59,20840,0.932203389830508
Q4,45,0,1
