"marginalREDS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,4464,0.604294478527607
"CRS",50,0,0.78
"ERK",323,4155,0.773993808049536
"MNT",108,0,0.731481481481482
"MRO",138,0,0.760869565217391
"OSF",29,0,0.551724137931034
"HKL",110,0,0.727272727272727
"NET",6,0,1
"TWL",867,8619,0.696655132641292
"1978",124,0,0.540322580645161
"1979",102,0,0.862745098039216
"1980",271,3996,0.782287822878229
"1981",237,468,0.721518987341772
"1982",249,4155,0.610441767068273
"Q1",162,468,0.666666666666667
"Q2",289,7030,0.802768166089965
"Q3",340,0,0.655882352941176
"Q4",192,1121,0.661458333333333
