margGBLC,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.865030674846626
CRS,50,0,0.78
ERK,323,0,0.913312693498452
MNT,108,0,0.87962962962963
MRO,138,37006,0.768115942028985
OSF,29,0,1
HKL,110,37006,0.790909090909091
NET,6,0,1
TWL,867,0,0.878892733564014
1978,124,0,0.838709677419355
1979,102,372,0.754901960784314
1980,271,1328,0.915129151291513
1981,237,0,0.79746835443038
1982,249,35306,0.951807228915663
Q1,162,5688,0.839506172839506
Q2,289,58,0.830449826989619
Q3,340,30556,0.882352941176471
Q4,192,704,0.932291666666667
