margWDOW,n,landing,coverage
BRG,6,1243,0.833333333333333
MNT,88,209217,0.965909090909091
MRO,64,375279,0.9375
OSF,52,373745,0.942307692307692
HKL,1,0,1
NET,8,19058,0.875
TWL,201,940426,0.950248756218905
1978,57,141361,0.947368421052632
1980,61,497415,0.950819672131147
1981,42,285587,0.880952380952381
1982,50,35121,1
Q1,43,267685,0.953488372093023
Q2,73,114674,0.972602739726027
Q3,54,341514,0.944444444444444
Q4,40,235611,0.9
