"marginalSNOS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,268508,0.868098159509202
"CRS",50,70112,0.82
"ERK",323,39151,0.947368421052632
"MNT",108,37461,0.87037037037037
"MRO",138,150858,0.971014492753623
"OSF",29,197641,0.793103448275862
"HKL",110,0,1
"NET",6,0,1
"TWL",867,763731,0.892733564013841
"1978",124,3677,0.943548387096774
"1979",102,19016,0.980392156862745
"1980",271,223827,0.922509225092251
"1981",237,308301,0.856540084388186
"1982",249,208910,0.883534136546185
"Q1",162,183959,0.876543209876543
"Q2",289,182634,0.916955017301038
"Q3",340,342259,0.917647058823529
"Q4",192,54879,0.890625
