margBANK,n,landing,coverage
BDG,9,0,1
BRG,326,610204,0.941717791411043
CRS,50,0,1
ERK,323,71047,0.975232198142415
MNT,108,687699,0.925925925925926
MRO,138,316205,0.992753623188406
OSF,29,0,1
HKL,110,87376,1
NET,6,36046,1
TWL,867,1561733,0.958477508650519
1978,124,86843,0.967741935483871
1979,102,83366,0.970588235294118
1980,271,107956,0.996309963099631
1981,237,888719,0.936708860759494
1982,249,518271,0.947791164658635
Q1,162,615603,0.925925925925926
Q2,289,575087,0.955017301038062
Q3,340,304023,0.979411764705882
Q4,192,190442,0.979166666666667
