margMXRF,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,15828,0.325153374233129
CRS,50,0,0.28
ERK,323,0,0.402476780185758
MNT,108,0,0.148148148148148
MRO,138,0,0.326086956521739
OSF,29,0,0.482758620689655
HKL,110,0,0.290909090909091
NET,6,0,0.666666666666667
TWL,867,15828,0.342560553633218
1978,124,0,0.387096774193548
1979,102,0,0.274509803921569
1980,271,15828,0.350553505535055
1981,237,0,0.261603375527426
1982,249,0,0.401606425702811
Q1,162,0,0.54320987654321
Q2,289,6676,0.363321799307958
Q3,340,9152,0.235294117647059
Q4,192,0,0.3125
