"marginalCNRY","n","landing","coverage"
"BDG",9,66834,0.888888888888889
"BRG",326,1975794,0.94478527607362
"CRS",50,1398777,0.72
"ERK",323,1577283,0.922600619195046
"MNT",108,20852,0.990740740740741
"MRO",138,100136,1
"OSF",29,7637,0.96551724137931
"HKL",110,132906,0.990909090909091
"NET",6,0,1
"TWL",867,5014407,0.931949250288351
"1978",124,1259855,0.895161290322581
"1979",102,626077,0.96078431372549
"1980",271,615166,0.922509225092251
"1981",237,1146147,0.962025316455696
"1982",249,1500068,0.947791164658635
"Q1",162,848186,0.962962962962963
"Q2",289,1937730,0.913494809688581
"Q3",340,1978133,0.926470588235294
"Q4",192,383264,0.979166666666667
