"marginalBRNZ","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.947852760736196
"CRS",50,0,0.86
"ERK",323,0,1
"MNT",108,0,0.907407407407407
"MRO",138,766,0.956521739130435
"OSF",29,0,0.827586206896552
"HKL",110,766,0.945454545454545
"NET",6,0,1
"TWL",867,0,0.955017301038062
"1978",124,0,1
"1979",102,766,0.941176470588235
"1980",271,0,1
"1981",237,0,0.864978902953586
"1982",249,0,0.971887550200803
"Q1",162,0,0.864197530864197
"Q2",289,0,0.965397923875433
"Q3",340,766,0.961764705882353
"Q4",192,0,1
