margCBZN,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.0552147239263804
CRS,50,0,0.44
ERK,323,0,0.120743034055728
MNT,108,0,0.333333333333333
MRO,138,125,0.195652173913043
OSF,29,0,0.724137931034483
HKL,110,125,0.245454545454545
NET,6,0,0
TWL,867,0,0.156862745098039
1978,124,0,0.129032258064516
1979,102,125,0.166666666666667
1980,271,0,0.206642066420664
1981,237,0,0.156118143459916
1982,249,0,0.14859437751004
Q1,162,0,0.308641975308642
Q2,289,125,0.027681660899654
Q3,340,0,0.164705882352941
Q4,192,0,0.255208333333333
