margLSPN,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,432,0.871165644171779
CRS,50,0,0.1
ERK,323,0,0.151702786377709
MNT,108,0,0.268518518518519
MRO,138,0,0.572463768115942
OSF,29,0,0.344827586206897
HKL,110,0,0.572727272727273
NET,6,0,0
TWL,867,432,0.456747404844291
1978,124,163,0.758064516129032
1979,102,0,0.637254901960784
1980,271,269,0.416974169741697
1981,237,0,0.417721518987342
1982,249,0,0.353413654618474
Q1,162,0,0.462962962962963
Q2,289,0,0.370242214532872
Q3,340,269,0.414705882352941
Q4,192,163,0.708333333333333
