margFLAG,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.978527607361963
CRS,50,1522,0.96
ERK,323,293,0.907120743034056
MNT,108,0,0.907407407407407
MRO,138,2013,0.942028985507246
OSF,29,0,0.931034482758621
HKL,110,1682,0.927272727272727
NET,6,0,1
TWL,867,2146,0.94002306805075
1978,124,0,0.991935483870968
1979,102,0,0.774509803921569
1980,271,331,0.948339483394834
1981,237,1742,0.970464135021097
1982,249,1755,0.939759036144578
Q1,162,526,0.944444444444444
Q2,289,1522,0.930795847750865
Q3,340,599,0.982352941176471
Q4,192,1181,0.869791666666667
