"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.555555555555556
"BRG",326,4401338,0.947852760736196
"CRS",50,570089,1
"ERK",323,2934116,0.944272445820433
"MNT",108,2426405,0.935185185185185
"MRO",138,1605793,0.905797101449275
"OSF",29,1665847,0.827586206896552
"HKL",110,906394,0.954545454545455
"NET",6,20053,1
"TWL",867,13367086,0.931949250288351
"1978",124,1320166,0.911290322580645
"1979",102,1408999,0.980392156862745
"1980",271,2700181,0.955719557195572
"1981",237,5193394,0.907172995780591
"1982",249,3670793,0.931726907630522
"Q1",162,3371850,0.919753086419753
"Q2",289,3877067,0.937716262975779
"Q3",340,4274305,0.920588235294118
"Q4",192,2770311,0.96875
