margSWSP,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.895705521472393
CRS,50,0,0.98
ERK,323,0,0.888544891640867
MNT,108,0,0.712962962962963
MRO,138,0,0.731884057971015
OSF,29,0,1
HKL,110,0,0.990909090909091
NET,6,0,0
TWL,867,0,0.843137254901961
1978,124,0,0.798387096774194
1979,102,0,0.990196078431373
1980,271,0,0.867158671586716
1981,237,0,0.949367088607595
1982,249,0,0.72289156626506
Q1,162,0,0.950617283950617
Q2,289,0,0.899653979238754
Q3,340,0,0.902941176470588
Q4,192,0,0.619791666666667
