"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.217791411042945
"CRS",50,0,0.36
"ERK",323,0,0.495356037151703
"MNT",108,0,0.398148148148148
"MRO",138,125,0.405797101449275
"OSF",29,0,0.172413793103448
"HKL",110,125,0.418181818181818
"NET",6,0,0.5
"TWL",867,0,0.351787773933103
"1978",124,0,0.0725806451612903
"1979",102,125,0.303921568627451
"1980",271,0,0.357933579335793
"1981",237,0,0.459915611814346
"1982",249,0,0.433734939759036
"Q1",162,0,0.518518518518518
"Q2",289,125,0.245674740484429
"Q3",340,0,0.429411764705882
"Q4",192,0,0.276041666666667
