margSWSP,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.202453987730061
CRS,50,0,0.34
ERK,323,0,0.585139318885449
MNT,108,0,0.277777777777778
MRO,138,0,0.543478260869565
OSF,29,0,0.0689655172413793
HKL,110,0,0.581818181818182
NET,6,0,0.166666666666667
TWL,867,0,0.366782006920415
1978,124,0,0.201612903225806
1979,102,0,0.42156862745098
1980,271,0,0.416974169741697
1981,237,0,0.39662447257384
1982,249,0,0.433734939759036
Q1,162,0,0.358024691358025
Q2,289,0,0.318339100346021
Q3,340,0,0.302941176470588
Q4,192,0,0.677083333333333
