margEGLS,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,185,0.420454545454545
MRO,64,0,0.40625
OSF,52,2368,0.403846153846154
HKL,1,0,0
NET,8,0,0.25
TWL,201,2553,0.412935323383085
1978,57,185,0.350877192982456
1980,61,0,0.311475409836066
1981,42,0,0.476190476190476
1982,50,2368,0.52
Q1,43,0,0.558139534883721
Q2,73,2368,0.589041095890411
Q3,54,0,0.148148148148148
Q4,40,185,0.25
