margWDOW,n,landing,coverage
BDG,9,13218,0.888888888888889
BRG,326,635196,0.788343558282209
CRS,50,182129,0.76
ERK,323,15744399,0.625386996904025
MNT,108,570494,0.537037037037037
MRO,138,219593,0.833333333333333
OSF,29,788477,0.758620689655172
HKL,110,208182,0.836363636363636
NET,6,10917,0.166666666666667
TWL,867,17934407,0.700115340253749
1978,124,749148,0.733870967741935
1979,102,2751370,0.745098039215686
1980,271,10708990,0.675276752767528
1981,237,3288416,0.679324894514768
1982,249,655582,0.759036144578313
Q1,162,4011229,0.672839506172839
Q2,289,4284190,0.653979238754325
Q3,340,4756660,0.782352941176471
Q4,192,5101427,0.708333333333333
