margRSTN,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,1338,0.346625766871166
CRS,50,157,0.36
ERK,323,291,0.730650154798762
MNT,108,0,0.583333333333333
MRO,138,0,0.702898550724638
OSF,29,0,0.344827586206897
HKL,110,0,0.6
NET,6,0,0.666666666666667
TWL,867,1786,0.544405997693195
1978,124,47,0.233870967741935
1979,102,244,0.519607843137255
1980,271,0,0.269372693726937
1981,237,0,0.814345991561181
1982,249,1495,0.779116465863454
Q1,162,0,0.697530864197531
Q2,289,1582,0.529411764705882
Q3,340,204,0.564705882352941
Q4,192,0,0.4375
