margROSY,n,landing,coverage
BDG,56,0,0.214285714285714
BRG,457,0,0.426695842450766
CRS,82,0,0.121951219512195
ERK,594,0,0.493265993265993
MNT,344,0,0.302325581395349
MRO,266,321,0.394736842105263
OSF,104,0,0.259615384615385
HKL,138,321,0.297101449275362
NET,47,0,0.0851063829787234
TWL,1718,0,0.408032596041909
1978,124,0,0.516129032258065
1979,102,0,0.352941176470588
1980,271,60,0.202952029520295
1981,237,136,0.443037974683544
1982,249,125,0.558232931726908
1983,312,0,0.586538461538462
1984,277,0,0.252707581227437
1985,331,0,0.283987915407855
Q1,339,125,0.421828908554572
Q2,531,0,0.32015065913371
Q3,645,60,0.393798449612403
Q4,388,136,0.461340206185567
