margROSY,n,landing,coverage
BDG,56,0,0.821428571428571
BRG,457,0,0.978118161925602
CRS,82,0,0.939024390243902
ERK,594,0,1
MNT,344,0,0.947674418604651
MRO,266,321,0.924812030075188
OSF,104,0,1
HKL,138,321,0.971014492753623
NET,47,0,0.978723404255319
TWL,1718,0,0.966239813736903
1978,124,0,1
1979,102,0,1
1980,271,60,0.996309963099631
1981,237,136,0.991561181434599
1982,249,125,0.939759036144578
1983,312,0,1
1984,277,0,0.902527075812274
1985,331,0,0.945619335347432
Q1,339,125,0.997050147492625
Q2,531,0,0.954802259887006
Q3,645,60,0.982945736434109
Q4,388,136,0.930412371134021
