margBRWN,n,landing,coverage
BRG,6,0,0
MNT,88,0,0.454545454545455
MRO,64,3617,0.390625
OSF,52,0,0.423076923076923
HKL,1,0,1
NET,8,0,0.125
TWL,201,3617,0.422885572139304
1978,57,0,0.087719298245614
1980,61,0,0.295081967213115
1981,42,0,0.642857142857143
1982,50,3617,0.74
Q1,43,3617,0.162790697674419
Q2,73,0,0.589041095890411
Q3,54,0,0.277777777777778
Q4,40,0,0.55
