"marginalOLVE","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,20334,0.704545454545455
"MRO",64,0,0.96875
"OSF",52,0,1
"HKL",1,0,1
"NET",8,17170,0.5
"TWL",201,3164,0.875621890547264
"1978",57,17170,0.578947368421053
"1980",61,0,0.983606557377049
"1981",42,0,1
"1982",50,3164,0.92
"Q1",43,0,0.790697674418605
"Q2",73,17170,0.945205479452055
"Q3",54,0,0.740740740740741
"Q4",40,3164,0.95
