margREX,n,landing,coverage
BDG,12,0,1
BRG,401,0,0.84788029925187
CRS,60,0,0.816666666666667
ERK,459,0,1
MNT,163,0,0.914110429447853
MRO,164,0,0.920731707317073
OSF,36,3731,0.805555555555556
HKL,124,0,0.903225806451613
NET,14,0,0.857142857142857
TWL,1157,3731,0.920484010371651
1978,124,0,0.854838709677419
1979,102,0,0.892156862745098
1980,271,0,0.881918819188192
1981,237,0,0.940928270042194
1982,249,3731,0.951807228915663
1983,312,0,0.939102564102564
Q1,228,0,0.837719298245614
Q2,390,3731,0.887179487179487
Q3,437,0,0.977116704805492
Q4,240,0,0.9375
