margREX,n,landing,coverage
BDG,12,0,0.0833333333333333
BRG,401,0,0.246882793017456
CRS,60,0,0.133333333333333
ERK,459,0,0.211328976034858
MNT,163,0,0.177914110429448
MRO,164,0,0.164634146341463
OSF,36,3731,0.388888888888889
HKL,124,0,0.193548387096774
NET,14,0,0.214285714285714
TWL,1157,3731,0.214347450302506
1978,124,0,0.387096774193548
1979,102,0,0.303921568627451
1980,271,0,0.136531365313653
1981,237,0,0.227848101265823
1982,249,3731,0.200803212851406
1983,312,0,0.176282051282051
Q1,228,0,0.131578947368421
Q2,390,3731,0.174358974358974
Q3,437,0,0.260869565217391
Q4,240,0,0.2625
