margCBZN,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.849693251533742
CRS,50,0,0.98
ERK,323,0,0.987616099071207
MNT,108,0,0.907407407407407
MRO,138,125,0.956521739130435
OSF,29,0,0.827586206896552
HKL,110,125,0.954545454545455
NET,6,0,1
TWL,867,0,0.919261822376009
1978,124,0,0.596774193548387
1979,102,125,0.990196078431373
1980,271,0,0.996309963099631
1981,237,0,0.940928270042194
1982,249,0,0.963855421686747
Q1,162,0,0.993827160493827
Q2,289,125,0.97923875432526
Q3,340,0,0.9
Q4,192,0,0.822916666666667
