"marginalREDS","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,4464,0.763803680981595
"CRS",50,0,0.74
"ERK",323,4155,0.789473684210526
"MNT",108,0,0.824074074074074
"MRO",138,0,0.760869565217391
"OSF",29,0,0.793103448275862
"HKL",110,0,0.845454545454545
"NET",6,0,1
"TWL",867,8619,0.769319492502884
"1978",124,0,0.653225806451613
"1979",102,0,0.852941176470588
"1980",271,3996,0.867158671586716
"1981",237,468,0.784810126582278
"1982",249,4155,0.710843373493976
"Q1",162,468,0.925925925925926
"Q2",289,7030,0.785467128027682
"Q3",340,0,0.670588235294118
"Q4",192,1121,0.838541666666667
