margCOPP,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,1
ERK,323,6444,0.984520123839009
MNT,108,0,0.87962962962963
MRO,138,2014,0.992753623188406
OSF,29,15228,0.620689655172414
HKL,110,20839,0.972727272727273
NET,6,0,0.5
TWL,867,2847,0.949250288350634
1978,124,0,0.975806451612903
1979,102,0,0.990196078431373
1980,271,19234,0.985239852398524
1981,237,0,0.852320675105485
1982,249,4452,0.971887550200803
Q1,162,0,0.969135802469136
Q2,289,15228,0.882352941176471
Q3,340,7833,0.970588235294118
Q4,192,625,0.994791666666667
