"marginalSLGR","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.128834355828221
"CRS",50,0,0.08
"ERK",323,1894,0.164086687306502
"MNT",108,0,0.462962962962963
"MRO",138,0,0.297101449275362
"OSF",29,0,0.482758620689655
"HKL",110,0,0.4
"NET",6,0,0.666666666666667
"TWL",867,1894,0.179930795847751
"1978",124,0,0.524193548387097
"1979",102,1894,0.156862745098039
"1980",271,0,0.0922509225092251
"1981",237,0,0.109704641350211
"1982",249,0,0.289156626506024
"Q1",162,1894,0.172839506172839
"Q2",289,0,0.145328719723183
"Q3",340,0,0.241176470588235
"Q4",192,0,0.270833333333333
