"marginalROSY","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,1
"CRS",50,0,0.96
"ERK",323,0,0.603715170278638
"MNT",108,0,0.777777777777778
"MRO",138,321,0.77536231884058
"OSF",29,0,0.862068965517241
"HKL",110,321,0.918181818181818
"NET",6,0,0.166666666666667
"TWL",867,0,0.798154555940023
"1978",124,0,0.951612903225806
"1979",102,0,0.990196078431373
"1980",271,60,0.723247232472325
"1981",237,136,0.746835443037975
"1982",249,125,0.811244979919679
"Q1",162,125,0.820987654320988
"Q2",289,0,0.823529411764706
"Q3",340,60,0.85
"Q4",192,136,0.697916666666667
