"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.888888888888889
"BRG",326,0,0.904907975460123
"CRS",50,0,0.8
"ERK",323,0,0.86687306501548
"MNT",108,0,0.981481481481482
"MRO",138,0,1
"OSF",29,0,0.689655172413793
"HKL",110,0,0.990909090909091
"NET",6,0,1
"TWL",867,2766,0.89042675893887
"1978",124,0,1
"1979",102,0,1
"1980",271,0,0.845018450184502
"1981",237,2766,0.835443037974684
"1982",249,0,0.939759036144578
"Q1",162,0,0.91358024691358
"Q2",289,0,0.747404844290657
"Q3",340,0,0.982352941176471
"Q4",192,2766,0.984375
