"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.111111111111111
"BRG",326,0,0.125766871165644
"CRS",50,0,0.5
"ERK",323,0,0.38390092879257
"MNT",108,0,0.240740740740741
"MRO",138,0,0.159420289855072
"OSF",29,0,0.379310344827586
"HKL",110,0,0.154545454545455
"NET",6,0,0.333333333333333
"TWL",867,2766,0.26643598615917
"1978",124,0,0.129032258064516
"1979",102,0,0.441176470588235
"1980",271,0,0.269372693726937
"1981",237,2766,0.0337552742616034
"1982",249,0,0.433734939759036
"Q1",162,0,0.160493827160494
"Q2",289,0,0.242214532871972
"Q3",340,0,0.264705882352941
"Q4",192,2766,0.333333333333333
