margPOP,n,landing,coverage
BDG,31,0,1
BRG,420,42295,0.942857142857143
CRS,73,41576,0.794520547945205
ERK,533,406514,0.816135084427767
MNT,249,0,1
MRO,201,0,1
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,490385,0.903521126760563
1978,124,1334,0.951612903225806
1979,102,61613,0.96078431372549
1980,271,13486,0.948339483394834
1981,237,1233,0.987341772151899
1982,249,261096,0.907630522088353
1983,312,96145,0.830128205128205
1984,277,55478,0.877256317689531
Q1,277,70664,0.963898916967509
Q2,441,48703,0.897959183673469
Q3,534,342204,0.887640449438202
Q4,320,28814,0.93125
